AvgPos,Imps
-2,1
-16,1
-27,1
-34,1
-9,2
-23,2
-21,3
-21,3
-27,3
-30,3
-39,3
-23,4
-25,4
-27,4
-28,4
-29,4
-29,4
-30,4
-31,4
-36,4
-14,5
-18,5
-24,5
-28,5
-29,5
-35,5
-18,6
-20,6
-24,6
-29,6
-33,6
-34,6
-26,7
-27,7
-27,7
-29,7
-31,7
-35,7
-22,8
-24,8
-25,8
-26,8
-34,8
-34,8
-20,9
-23,9
-25,9
-28,9
-29,9
-32,9
-24,10
-25,10
-26,10
-29,10
-29,10
-31,10
-34,10
-16,11
-18,11
-22,11
-23,11
-23,11
-24,11
-24,11
-25,11
-26,11
-28,11
-30,11
-30,11
-31,11
-35,11
-16,12
-16,12
-21,12
-24,12
-25,12
-25,12
-26,12
-27,12
-18,14
-25,14
-19,16
-19,17
-22,17
-17,18
-18,18
-23,18
-24,19
-14,20
-15,20
-16,22
-17,22
-17,24
-17,24
-24,24
-16,26
-28,27
-16,28
-16,29
-21,29
-17,31
-21,33
-12,34
-19,37
-15,57
-14,61
-17,67
-16,74
