Days,AvgPos
0,-25
1,-24
2,-23
4,-24
5,-21
7,-23
8,-23
9,-22
10,-25
11,-24
12,-25
13,-25
14,-29
16,-29
17,-30
20,-26
22,-26
23,-35
24,-29
26,-25
27,-26
29,-30
30,-28
31,-31
32,-25
33,-33
34,-26
36,-24
37,-31
38,-29
39,-29
40,-28
41,-24
42,-31
43,-25
44,-35
45,-27
46,-29
47,-29
48,-26
49,-23
50,-36
51,-24
52,-27
53,-27
54,-16
57,-34
58,-21
59,-25
60,-14
61,-23
62,-23
63,-9
64,-2
65,-34
66,-29
67,-31
68,-39
69,-22
70,-27
72,-28
73,-24
74,-34
75,-20
76,-28
77,-32
78,-18
79,-21
80,-20
81,-30
82,-34
83,-24
84,-18
85,-35
86,-16
87,-34
88,-16
89,-27
90,-16
91,-18
92,-18
93,-24
94,-16
95,-19
96,-22
97,-16
98,-17
99,-21
100,-14
101,-17
102,-17
103,-21
104,-17
105,-18
106,-27
107,-15
108,-28
109,-16
110,-17
111,-16
112,-19
113,-30
114,-19
115,-12
116,-15
117,-17
118,-14
119,-16
